"Rue du Maréchal Foch";"P279";"COLLONGES-AU-MONT-D'OR";"COMMUNE";"COMMUNE";"Rue du Maréchal Foch";"Rue du Maréchal Foch";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"30";"";"";"";"";"Libre";"Gratuit";"Ouvert 24h/24h";"";"72";"4.840776104350426";"45.82362695837792"
"Cimetière";"P615";"ROCHETAILLEE-SUR-SAONE";"COMMUNE";"COMMUNE";"Chemin de l'Epine";"Chemin de l'Epine";"Existant";"1990";"Poche de stationnement";"En surface";"Non";"";"15";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"73";"4.841528994872348";"45.84098952988995"
"Mardoré";"P616";"ROCHETAILLEE-SUR-SAONE";"GRAND LYON";"GRAND LYON";"Rue Mardoré";"Rue Mardoré";"Existant";"2004";"Poche de stationnement";"En surface";"Non";"";"3";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"74";"4.835460705672443";"45.84270326983649"
"Guinguettes";"P617";"ROCHETAILLEE-SUR-SAONE";"COMMUNE";"COMMUNE";"Chemin de la Plage";"Chemin de la Plage";"En travaux";"";"Poche de stationnement";"En surface";"Non";"";"85";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"intégrer dans le projet Rives de Saone";"75";"4.83557505311899";"45.83626859153477"
"Square Croix Tournus";"P342";"OULLINS";"COMMUNE";"COMMUNE";"Rue de la Camille";"Rue de la Camille";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"25";"";"";"";"";"Libre";"Gratuit";"Ouvert 24h/24h";"";"76";"4.801797519463148";"45.714317554139974"
"Place du Marché";"P618";"ROCHETAILLEE-SUR-SAONE";"GRAND LYON";"GRAND LYON";"Chemin du Train Bleu";"Chemin du Train Bleu";"Existant";"2004";"Poche de stationnement";"En surface";"Non";"";"30";"0";"0";"0";"0";"Libre";"Gratuit";"";"ouverture occasionnelle";"77";"4.834157600017546";"45.84031857377343"
"Centre";"P200";"ALBIGNY-SUR-SAONE";"COMMUNE";"COMMUNE";"Rue Etienne Richerand";"Rue Jean Chirat";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"54";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"78";"4.83122899278386";"45.865175168276735"
"Parking République";"P11";"Lyon 2 ème";"GRAND LYON";"LPA";"Rue Childebert";"Rue Childebert";"Existant";"1990";"Parc concédé GL";"En ouvrage (sous-sol)";"Oui";"1.9";"783";"28";"30";"2";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"79";"4.836634779405405";"45.76014863978624"
"Parking Berthelot";"P30";"Lyon 7 ème";"GRAND LYON";"LPA";"Rue de Marseille";"Rue de Marseille";"Existant";"1995";"Parc concédé GL";"En ouvrage (en élévation)";"Non";"1.9";"345";"32";"23";"2";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"80";"4.836413874745991";"45.74615635732537"
"Quai du Bassin";"P474";"VERNAISON";"CNR";"CNR";"R. du Pont/Croix Verte/Forge";"Rue du Pont/Rue de la Forge";"Existant";"";"Aire de covoiturage";"En surface";"Non";"1.8";"78";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"81";"4.81438161408218";"45.646977812093304"
"Saône";"P443";"NEUVILLE-SUR-SAONE";"GRAND LYON";"GRAND LYON";"Avenue Jean Christophe";"Rond point de Saône";"Existant";"2012";"Aire de covoiturage";"En surface";"Non";"";"125";"0";"0";"0";"0";"Horaire";"Gratuit";"Ouvert 24h/24h";"";"82";"4.83822958010825";"45.877548600635"
"Parking Morand Lyautey";"P25";"Lyon 6 ème";"GRAND LYON";"LPA";"Rue de Sèze";"Quai Sarrail";"Existant";"2008";"Parc concédé GL";"En ouvrage (sous-sol)";"Oui";"1.9";"697";"45";"111";"3";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"83";"4.841643002581757";"45.76774040296876"
"Cimetière";"P201";"ALBIGNY-SUR-SAONE";"GRAND LYON";"GRAND LYON";"Montée du Père Camus";"Montée du Père Camus";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"18";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"84";"4.827795454032504";"45.86535485161306"
"Parking Part Dieu Centre Commercial";"P18";"Lyon 3 ème";"GRAND LYON";"LPA";"R. de Bonnel/R. Servient";"Rue de Bonnel";"En travaux";"";"Parc concédé GL";"En ouvrage (en élévation)";"Oui";"1.8";"3056";"18";"0";"3";"51";"Mixte";"Payant";"Ouvert 24h/24h";"9-[PARKING_9]";"85";"4.854279202945241";"45.760933374713396"
"Parking Saint Georges";"P23";"Lyon 5 ème";"GRAND LYON";"LPA";"Quai Fulchiron/Rue A. Max";"Quai Fulchiron";"Existant";"2005";"Parc concédé GL";"En ouvrage (sous-sol)";"Oui";"1.9";"774";"63";"36";"2";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"86";"4.826744348990877";"45.75846743217584"
