"Criter13489728";"noRestriction";"real";"NetworkManagement";"";"2017-09-08 10:22:26";"2017-09-12 21:00:10";"3";"2017-09-08 10:24:17";"2017-09-08 10:22:26";"certain";"active";"2017-09-12 21:00:10";"2017-09-13 06:00:10";"0";"21h/6h A6 -> Marseille|Entre Limonest et la porte du Valvert|Jusqu'au 14 septembre inclus
Travaux d'aménagement";"bothWays";"A6";"TWG_ID:107;1077;108";"";"";"roadClosed";"";"";"";"CRITER";"70755";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13401410";"noRestriction";"real";"NetworkManagement";"";"2017-08-14 14:01:01";"2017-09-08 17:29:01";"2";"2017-08-14 14:02:27";"2017-08-14 14:01:01";"certain";"active";"2017-09-08 17:29:01";"2017-09-08 23:59:01";"0";"17h30/Minuit Rues Berthelot et du Bel Air|Aux abords des axes|Le 8 septembre
Fête de quartier";"bothWays";"OULLINS";"";"";"";"roadClosed";"";"";"";"CRITER";"69586";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13401426";"noRestriction";"real";"NetworkManagement";"";"2017-08-14 14:16:53";"2017-09-23 05:00:53";"1";"2017-08-14 14:17:48";"2017-08-14 14:16:53";"certain";"active";"2017-09-23 05:00:53";"2017-09-23 20:00:53";"0";"5h/20h Rue Challemel Lacour|Aux abords de l'axe|Le 23 septembre
Vide-grenier";"bothWays";"LYON-07";"";"";"";"roadClosed";"";"";"";"CRITER";"69589";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13401427";"noRestriction";"real";"NetworkManagement";"";"2017-08-14 14:19:40";"2017-09-17 06:00:40";"2";"2017-08-14 14:20:50";"2017-08-14 14:19:40";"certain";"active";"2017-09-17 06:00:40";"2017-09-17 20:00:40";"0";"6h/20h Rue Moncey|Aux abords de l'axe|Le 17 septembre
Vide-grenier";"bothWays";"LYON-03";"";"";"";"roadClosed";"";"";"";"CRITER";"69590";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13442776";"noRestriction";"real";"NetworkManagement";"";"2017-08-30 15:01:53";"2017-09-17 09:00:53";"3";"2017-08-30 15:07:46";"2017-08-30 15:01:53";"certain";"active";"2017-09-17 09:00:53";"2017-09-17 11:00:53";"0";"9h/11h Place Bellecour|Aux abords de la place|Le 17 septembre
Lugdunum Roller Contest";"bothWays";"LYON-02";"TWG_ID:621;620;623;622";"";"";"roadClosed";"";"";"";"CRITER";"70182";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13433854";"noRestriction";"real";"Activities";"";"2017-08-28 17:20:14";"2017-09-29 20:30:00";"2";"2017-08-28 17:21:16";"2017-08-28 17:20:14";"certain";"active";"2017-09-29 20:30:00";"2017-09-29 23:00:10";"0";"20h30 Bourse du Travail|Aux abords de la salle|Les 29 et 30 septembre
Spectacle Pockemon Crew and friends
Risque de perturbations";"bothWays";"LYON-03";"";"";"";"";"majorEvent";"";"";"CRITER";"70070";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13491506";"noRestriction";"real";"AbnormalTraffic";"";"2017-09-08 15:13:15";"2017-09-08 15:13:15";"2";"2017-09-08 15:43:56";"2017-09-08 15:13:15";"certain";"active";"2017-09-08 15:13:15";"2017-09-08 23:59:59";"0";"A46 Sud -> Paris, 6 km|Entre Saint-Symphorien d'Ozon et Manissieux";"bothWays";"A46 Sud";"TWG_ID:175";"";"";"";"";"";"";"CRITER";"70786";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";"stopAndGo"
"Criter13491725";"noRestriction";"real";"AbnormalTraffic";"";"2017-09-08 15:41:34";"2017-09-08 15:41:34";"2";"2017-09-08 16:55:07";"2017-09-08 15:41:34";"certain";"active";"2017-09-08 15:41:34";"2017-09-08 23:59:59";"0";"A42 - 2 sens, 2 km|A hauteur de Vaulx-en-Velin";"bothWays";"A42";"TWG_ID:97";"";"";"";"";"";"";"CRITER";"70787";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";"queueingTraffic"
"Criter13436440";"noRestriction";"real";"NetworkManagement";"";"2017-08-29 09:18:43";"2017-09-10 07:30:43";"1";"2017-08-29 09:19:35";"2017-08-29 09:18:43";"certain";"active";"2017-09-10 07:30:43";"2017-09-10 14:00:43";"0";"7h30/14h Tunnel rue Terme|Ensemble de l'ouvrage|Le 10 septembre
Lyon Free Bike
Risque de perturbations";"bothWays";"LYON-01";"TWG_ID:2062";"";"";"roadClosed";"";"";"";"CRITER";"70115";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13354999";"noRestriction";"real";"NetworkManagement";"";"2017-07-27 16:17:24";"2017-08-28 07:50:00";"4";"2017-09-07 18:53:17";"2017-07-27 16:17:24";"certain";"active";"2017-08-28 07:50:00";"2017-09-12 18:00:00";"0";"Rue Maryse Bastié|Entre l'avenue Paul Santy et l'avenue Général Frère|Jusqu'au 12 septembre
Travaux Tramway T6";"bothWays";"LYON-08";"TWG_ID:300";"";"";"roadClosed";"";"";"";"CRITER";"69012";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
